date,control_point,arrive_resident,arrive_mainland,arrive_others,arrive_total,departure_resident,departure_mainland,departure_others,departure_total
2020-02-17,Lo Wu,0,0,0,0,0,0,0,0
2020-02-17,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-02-17,Hong Kong-Zhuhai-Macao Bridge,1264,3,488,1755,2000,87,625,2712
2020-02-17,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-02-17,Man Kam To,0,0,0,0,0,0,0,0
2020-02-17,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-02-17,Shenzhen Bay,978,108,4,1090,1724,600,173,2497
2020-02-17,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-17,Harbour Control,0,0,0,0,0,0,0,0
2020-02-17,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-02-17,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-17,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-18,Airport,12068,479,1862,14409,8900,266,1722,10888
2020-02-18,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-02-18,Hung Hom,0,0,0,0,0,0,0,0
2020-02-18,Lo Wu,0,0,0,0,0,0,0,0
2020-02-18,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-02-18,Hong Kong-Zhuhai-Macao Bridge,1361,5,579,1945,1955,74,730,2759
2020-02-18,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-02-18,Man Kam To,0,0,0,0,0,0,0,0
2020-02-18,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-02-18,Shenzhen Bay,954,95,10,1059,1160,519,155,1834
2020-02-18,China Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-18,Harbour Control,0,0,0,0,0,0,0,0
2020-02-18,Kai Tak Cruise Terminal,0,0,0,0,0,0,0,0
2020-02-18,Macau Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-18,Tuen Mun Ferry Terminal,0,0,0,0,0,0,0,0
2020-02-19,Airport,10612,462,1789,12863,10048,214,1582,11844
2020-02-19,Express Rail Link West Kowloon,0,0,0,0,0,0,0,0
2020-02-19,Hung Hom,0,0,0,0,0,0,0,0
2020-02-19,Lo Wu,0,0,0,0,0,0,0,0
2020-02-19,Lok Ma Chau Spur Line,0,0,0,0,0,0,0,0
2020-02-19,Hong Kong-Zhuhai-Macao Bridge,1280,8,496,1784,1776,64,609,2449
2020-02-19,Lok Ma Chau,0,0,0,0,0,0,0,0
2020-02-19,Man Kam To,0,0,0,0,0,0,0,0
2020-02-19,Sha Tau Kok,0,0,0,0,0,0,0,0
2020-02-19,Shenzhen Bay,909,97,5,1011,1145,508,113,1766
